time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,
1.77694955E9,-1.355204642,-0.0442627247116378,-1.2815714892987,-1.48109162402302,-1.47008938415685,-1.42032478946847,-1.41479196620318,0.97997
1.776949761E9,-1.356364042,-0.0452198100183512,-1.28263989356665,-1.48227098761086,-1.47132705188594,-1.42159991462119,-1.41607246892028,0.97997
1.776949973E9,-1.357708618,-0.0464483392879698,-1.28395713487062,-1.48363060962415,-1.47270750054109,-1.42300159334556,-1.41748023494384,0.97997
1.776950185E9,-1.358972625,-0.0475505467110988,-1.28516067112159,-1.48491236490982,-1.4740296417402,-1.42435354375587,-1.41883796909127,0.97997
1.776950396E9,-1.360293119,-0.0487322545605362,-1.28643793081627,-1.48624933312206,-1.47539686962686,-1.42574624303307,-1.42023667121671,0.97997
1.776950608E9,-1.361705495,-0.0500469348870691,-1.28783753362176,-1.48767586030426,-1.47683573493913,-1.4272028535566,-1.42169964001467,0.97997
1.77695082E9,-1.363010084,-0.0511957689542206,-1.2890870926248,-1.48899800052236,-1.47819513935312,-1.42859088622923,-1.423093619821,0.97997
1.776951031E9,-1.36435703,-0.0524041509523072,-1.29039189008257,-1.49036154686677,-1.47958838263936,-1.43000951738133,-1.42451836249529,0.97997
1.776951243E9,-1.365793413,-0.0537430146769249,-1.291816472216,-1.49181219706828,-1.48105086819844,-1.43148968110002,-1.42600498414504,0.97997
1.776951455E9,-1.367164676,-0.0549810867447289,-1.29315000438273,-1.49319982247726,-1.48246562742935,-1.43292879588312,-1.42745030696714,0.97997
1.776951666E9,-1.36850662,-0.0561723623447248,-1.29444160005094,-1.49455916948231,-1.48385956007755,-1.4343503462149,-1.42887795221221,0.97997
1.776951878E9,-1.369885026,-0.0574157590690609,-1.29578131640107,-1.49595410100109,-1.4852822221677,-1.43579767804217,-1.43033152004844,0.97997
1.77695209E9,-1.37117278,-0.0585210693078864,-1.29699574229692,-1.49726114560953,-1.48663742124535,-1.43718641699772,-1.43172614213262,0.97997
1.776952301E9,-1.372415041,-0.0595562646070729,-1.29814674153081,-1.49852414129768,-1.48795915005298,-1.43854627702198,-1.43309170596332,0.97997
1.776952513E9,-1.373682221,-0.0606271647222236,-1.29933067511637,-1.49981145092354,-1.48930047916391,-1.43992369811841,-1.43447492500126,0.97997
1.776952725E9,-1.375043013,-0.0618370194930062,-1.3006415677559,-1.50118976708851,-1.49071317279267,-1.44136398150857,-1.43592136927016,0.97997
1.776952936E9,-1.376269904,-0.0628450915611805,-1.3017688251343,-1.50243811776587,-1.49202521293901,-1.44271629341785,-1.43727931532848,0.97997
1.776953148E9,-1.377449413,-0.0637813372519291,-1.30283080600007,-1.50364050883478,-1.49330184211945,-1.44403774313057,-1.4386062088211,0.97997
1.77695336E9,-1.378567857,-0.0646255170904495,-1.3038089926705,-1.50478363359641,-1.49453260071944,-1.44531909234282,-1.43989275627665,0.97997
1.776953571E9,-1.379613081,-0.0653596786746866,-1.30468695139931,-1.50585566958118,-1.49570818576096,-1.4465521160053,-1.4411306831246,0.97997
1.776953783E9,-1.380553774,-0.0659371494614531,-1.3054220732226,-1.50682619139514,-1.49680482738816,-1.44771590729976,-1.4422989571136,0.97997
1.776953995E9,-1.381394644,-0.0663652479708139,-1.30602095449843,-1.50769975371963,-1.49782596579732,-1.44881340991933,-1.44340053800156,0.97997
1.776954206E9,-1.382210893,-0.0667569710463238,-1.30658650961537,-1.50854937090369,-1.49882828430881,-1.44989424345656,-1.44448534091254,0.97997
1.776954418E9,-1.382845121,-0.0668766187616643,-1.30690384599785,-1.50922216772091,-1.49969278296245,-1.45085401780412,-1.44544835027281,0.97997
1.77695463E9,-1.383495028,-0.0670208265667989,-1.30724325366043,-1.50991012119658,-1.50056866411697,-1.45182346305207,-1.44642107814391,0.97997
1.776954841E9,-1.384121968,-0.0671319154845513,-1.30755209740079,-1.5105756831768,-1.5014266210666,-1.45277682395323,-1.44737761554449,0.97997
1.776955053E9,-1.38470866,-0.0671842250965589,-1.30780692490071,-1.51120205468485,-1.50225348966413,-1.45370249716621,-1.44830628954387,0.97997
1.776955265E9,-1.385137128,-0.0670011164359834,-1.30784667080665,-1.51167465012632,-1.50296007255023,-1.45452221580811,-1.44912836062906,0.97997
1.776955476E9,-1.38530373,-0.0664274179177249,-1.30752983080965,-1.511892806158,-1.50346801449736,-1.45516721234106,-1.44977464266189,0.97997
1.776955688E9,-1.385508206,-0.0659127368363663,-1.30726615453349,-1.51214759304877,-1.50400356291559,-1.4558357980828,-1.45044464401176,0.97997
1.7769559E9,-1.385592389,-0.0652201387510509,-1.30683962210548,-1.51228539763175,-1.50444719211684,-1.45642311813125,-1.4510328748295,0.97997
1.776956111E9,-1.385500134,-0.0642656289433434,-1.30617361423344,-1.51225168437952,-1.50475642928148,-1.45689187423304,-1.45150180825168,0.97997
1.776956323E9,-1.385304966,-0.0631596248168116,-1.30536872502957,-1.51211784281942,-1.50498671270805,-1.45729062542556,-1.45190029624515,0.97997
1.776956535E9,-1.384812578,-0.0616109440577266,-1.30415947640436,-1.51169516909674,-1.50499127322394,-1.45749061625919,-1.45209879605115,0.97997
1.776956746E9,-1.384373657,-0.0601455794184409,-1.30302528734235,-1.51132420703636,-1.50503480111458,-1.45772391133325,-1.45233078582518,0.97997
