time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,col9
5.207888613E9,-4.04916365,-1.53358136824544,-3.48209577922725,-4.13240645403009,-4.31353904395113,-4.37194251521418,-4.40324129891285,10.7762
5.20789079E9,-4.061380599,-1.57021157492066,-3.50431839775188,-4.14735082293658,-4.32573950893249,-4.3824377653971,-4.41312318507079,10.7762
5.207892967E9,-4.073486245,-1.60647586928555,-3.52632476249924,-4.16215556020885,-4.33782899889166,-4.39283920194635,-4.42291724760338,10.7762
5.207895144E9,-4.085208399,-1.64165450254496,-3.54765767976692,-4.17649729256149,-4.34953496164556,-4.40290597906902,-4.43239398388294,10.7762
5.20789732E9,-4.096730188,-1.6762253348075,-3.56862234213444,-4.19059297543203,-4.36104082325553,-4.41280065223871,-4.4417085071055,10.7762
5.207899497E9,-4.107924498,-1.70969103381991,-3.58897564215234,-4.20425782944828,-4.37217736037855,-4.42237740303852,-4.45072096756572,10.7762
5.207901674E9,-4.118548844,-1.74000029178594,-3.60805667959647,-4.21690543679677,-4.38232774227088,-4.43112230798552,-4.45893281342757,10.7762
5.207903851E9,-4.129182579,-1.77024787524425,-3.62711750247563,-4.22955609948364,-4.3924897480618,-4.43988300417971,-4.46716209661953,10.7762
5.207906028E9,-4.139452769,-1.79949858246797,-3.64554109817147,-4.24177743705467,-4.40230320634788,-4.44834008013213,-4.47510474717529,10.7762
5.207908204E9,-4.149414356,-1.82788792841231,-3.66341751379422,-4.25363296121805,-4.41182124783313,-4.4565408565485,-4.48280590301717,10.7762
5.207910381E9,-4.159027962,-1.85531554417968,-3.68068099806273,-4.26507688435022,-4.42100589162275,-4.46445180231118,-4.49023371096903,10.7762
5.207912558E9,-4.168576239,-1.88248595481237,-3.69779750803688,-4.27643654314308,-4.43013024628653,-4.47231545911898,-4.49761921387402,10.7762
5.207914735E9,-4.17752293,-1.90805945169464,-3.71388194258479,-4.28709066587727,-4.43867625511941,-4.47967207565529,-4.50452460135094,10.7762
5.207916911E9,-4.185793095,-1.93184869251012,-3.7288106428306,-4.29695243774958,-4.44657152615649,-4.48645746454571,-4.51088877531201,10.7762
5.207919088E9,-4.193651477,-1.95367070472519,-3.74264324731333,-4.30617812008722,-4.45393047610278,-4.49278911950076,-4.51680357729733,10.7762
5.207921265E9,-4.20065381,-1.97283137173402,-3.75483232077451,-4.31432696796886,-4.46039323360575,-4.49833982239238,-4.521967236448,10.7762
5.207923442E9,-4.206646407,-1.9895322731345,-3.76538596541474,-4.32132516956606,-4.46590906370729,-4.50305350912425,-4.52634023168295,10.7762
